repo,event_type,quarter,commits,commits_bot,pr_count_total,pr_count_refactor,pr_count_refactor_label,pr_count_refactor_title,pr_refactor_ratio,pr_review_latency_median,pr_review_latency_p75,issues_opened,issues_closed,issue_backlog_delta,contributor_count,contributor_turnover_frac,label_coverage_warn
PostHog/posthog,full_rewrite,2023-Q1,965,3,984,66,0,66,0.0671,0.3597,1.8427,247,172,75,30,,0
PostHog/posthog,full_rewrite,2023-Q2,1031,1,1030,65,0,65,0.0631,0.3169,2.2872,161,129,32,28,0.3,1
PostHog/posthog,full_rewrite,2023-Q3,948,4,943,38,0,38,0.0403,0.608,2.8303,218,148,70,38,0.2857,1
PostHog/posthog,full_rewrite,2023-Q4,1499,4,1369,39,0,39,0.0285,0.3733,1.83,291,224,67,53,0.3158,0
PostHog/posthog,full_rewrite,2024-Q1,1251,22,1215,54,0,54,0.0444,0.3964,2.0106,280,369,-89,40,0.434,0
PostHog/posthog,full_rewrite,2024-Q2,1446,11,1459,76,0,76,0.0521,0.4325,2.0203,373,484,-111,53,0.225,0
PostHog/posthog,full_rewrite,2024-Q3,1371,3,1387,74,0,74,0.0534,0.4639,1.8973,333,268,65,57,0.3396,0
PostHog/posthog,full_rewrite,2024-Q4,1309,2,1318,56,0,56,0.0425,0.5439,1.8468,343,242,101,58,0.386,0
PostHog/posthog,full_rewrite,2025-Q1,2562,1,2584,135,0,135,0.0522,0.3144,1.6108,418,285,133,76,0.2586,0
PostHog/posthog,full_rewrite,2025-Q2,2667,4,2695,133,1,133,0.0494,0.2073,1.456,615,337,278,88,0.2368,0
PostHog/posthog,full_rewrite,2025-Q3,3204,4,3239,178,0,178,0.055,0.4055,1.8794,636,375,261,106,0.2273,0
PostHog/posthog,full_rewrite,2025-Q4,3788,1,3847,257,1,256,0.0668,0.4516,2.4737,654,386,268,122,0.2358,0
Infisical/infisical,migration,2023-Q1,1087,20,156,5,0,5,0.0321,0.4195,3.0886,109,77,32,44,,1
Infisical/infisical,migration,2023-Q2,715,34,128,2,0,2,0.0156,0.282,1.6838,78,41,37,20,0.8636,0
Infisical/infisical,migration,2023-Q3,934,3,158,5,0,5,0.0316,0.269,1.4564,134,103,31,42,0.65,0
Infisical/infisical,migration,2023-Q4,583,3,108,4,2,2,0.037,0.2557,1.8584,81,48,33,24,0.7857,0
Infisical/infisical,migration,2024-Q1,1557,26,220,21,9,13,0.0955,0.0892,1.5502,94,49,45,25,0.6667,0
Infisical/infisical,migration,2024-Q2,1733,4,296,44,2,44,0.1486,0.144,1.302,74,70,4,22,0.76,0
Infisical/infisical,migration,2024-Q3,1604,6,318,15,3,14,0.0472,0.1814,1.2257,91,82,9,26,0.6818,0
Infisical/infisical,migration,2024-Q4,1215,2,284,17,0,17,0.0599,0.3701,2.9533,68,72,-4,27,0.6923,1
Infisical/infisical,migration,2025-Q1,1302,3,289,10,0,10,0.0346,0.1598,1.5984,64,45,19,22,0.7037,1
Infisical/infisical,migration,2025-Q2,2090,0,420,10,0,10,0.0238,0.2121,1.8864,58,37,21,17,0.4545,1
Infisical/infisical,migration,2025-Q3,1677,1,395,17,0,17,0.043,0.1882,1.9656,69,48,21,22,0.3529,1
Infisical/infisical,migration,2025-Q4,2446,1,361,13,0,13,0.036,0.7357,2.651,64,22,42,18,0.5455,1
dagger/dagger,full_rewrite,2023-Q1,466,99,311,3,0,3,0.0096,0.8961,5.0584,184,244,-60,29,,0
dagger/dagger,full_rewrite,2023-Q2,294,73,316,4,0,4,0.0127,0.7562,5.0176,102,87,15,31,0.3448,0
dagger/dagger,full_rewrite,2023-Q3,249,50,262,14,6,10,0.0534,1.0577,4.5022,98,89,9,31,0.4194,0
dagger/dagger,full_rewrite,2023-Q4,263,27,290,15,3,12,0.0517,0.8231,4.1232,137,126,11,28,0.4194,0
dagger/dagger,full_rewrite,2024-Q1,443,35,377,14,1,13,0.0371,0.7793,3.0845,185,117,68,39,0.2857,0
dagger/dagger,full_rewrite,2024-Q2,439,26,427,15,3,12,0.0351,0.7869,4.0846,231,198,33,46,0.5128,0
dagger/dagger,full_rewrite,2024-Q3,471,6,454,20,7,14,0.0441,0.8899,5.6008,239,156,83,34,0.587,0
